id,premium,renewal,improvement,incentives
649,3300,0.9876097248383597,0.0,0.0
81136,11700,0.9773201799754934,0.0,0.0
70762,11700,0.9149708243575887,0.0,0.0
53935,5400,0.9657556579970101,0.0,0.0
15476,9600,0.9501419280178781,0.0,0.0
64797,11700,0.9730345087368821,0.0,0.0
67412,3300,0.5824270986793444,0.0,0.0
44241,5400,0.86458068792075,0.0,0.0
5069,13800,0.9809674930895042,0.0,0.0
16615,28500,0.9856444853325337,0.0,0.0
84281,20100,0.9776611077865365,0.0,0.0
82623,1200,0.9650396520619848,0.0,0.0
86475,11700,0.6184068862586592,0.0,0.0
68263,1200,0.8778079267131086,0.0,0.0
113135,1200,0.9427299067106648,0.0,0.0
45532,18000,0.959940160958023,0.0,0.0
102161,7500,0.9868904124457522,0.0,0.0
84789,30600,0.3745340256070854,0.0,0.0
62398,11700,0.9609717723209364,0.0,0.0
70148,3300,0.9698941949818001,0.0,0.0
102487,13800,0.894150209512539,0.0,0.0
100513,11700,0.9161615283857814,0.0,0.0
92702,5700,0.9055414026331012,0.0,0.0
25051,9600,0.8173479657482421,0.0,0.0
92920,13800,0.9840511897239517,0.0,0.0
25520,11700,0.9415782189146488,0.0,0.0
81869,39000,0.9634475558633373,0.0,0.0
75402,7500,0.978876093413678,0.0,0.0
34053,1200,0.7492898038176256,0.0,0.0
21191,9600,0.9734078676130439,0.0,0.0
10864,5400,0.9769815240347184,0.0,0.0
6349,7500,0.965028040489272,0.0,0.0
85213,7500,0.9711343230360148,0.0,0.0
17255,5400,0.9361297222787816,0.0,0.0
108351,3300,0.8896661946326185,0.0,0.0
51437,11700,0.9586596200074646,0.0,0.0
88629,20100,0.8342122954811437,0.0,0.0
85367,1200,0.9807842108351327,0.0,0.0
12313,1200,0.9298721525178517,0.0,0.0
71659,11700,0.9639378082034528,0.0,0.0
35142,5400,0.9870503433628861,0.0,0.0
62988,18000,0.975017033437268,0.0,0.0
8793,3300,0.9413607177101024,0.0,0.0
11433,9600,0.9832040156054295,0.0,0.0
30586,18000,0.9771088026573995,0.0,0.0
53012,3300,0.9593587011059894,0.0,0.0
87924,7500,0.970185993612634,0.0,0.0
106177,11700,0.9690045328927425,0.0,0.0
63058,18000,0.942173636187444,0.0,0.0
99537,13800,0.9490201931472843,0.0,0.0
35336,20100,0.903456009011463,0.0,0.0
78691,1200,0.9280977414616092,0.0,0.0
16161,9600,0.967142897558422,0.0,0.0
94318,5400,0.9710970992313708,0.0,0.0
96583,3300,0.9825964281345128,0.0,0.0
104560,5700,0.9525055680676427,0.0,0.0
19638,26400,0.9883600695961323,0.0,0.0
26080,11700,0.9518021711882276,0.0,0.0
113482,7500,0.979023370987435,0.0,0.0
82175,3300,0.9713624256664173,0.0,0.0
1239,3300,0.9694299408035494,0.0,0.0
32521,11700,0.738853659275413,0.0,0.0
68529,7500,0.986021208070757,0.0,0.0
38882,5400,0.11798434515306057,0.0,0.0
8299,3300,0.9846377386630034,0.0,0.0
98521,13800,0.9547469461578014,0.0,0.0
47257,7500,0.941882285831009,0.0,0.0
42445,13800,0.9567873602332966,0.0,0.0
104700,13800,0.36750177804141837,0.0,0.0
109204,13800,0.9803867412590456,0.0,0.0
20138,9600,0.720585879677873,0.0,0.0
28468,22200,0.9773557212731605,0.0,0.0
94964,15900,0.9732434559726352,0.0,0.0
59773,3300,0.9257000738045443,0.0,0.0
17261,18000,0.986360345953601,0.0,0.0
9570,3300,0.9373313254398177,0.0,0.0
55159,5400,0.6163936950433756,0.0,0.0
82480,3300,0.9710198031500158,0.0,0.0
51225,7500,0.7605288424854002,0.0,0.0
53176,1200,0.842789646076266,0.0,0.0
82883,3300,0.9696600483985373,0.0,0.0
63590,18000,0.9711595561359528,0.0,0.0
50906,13800,0.9470842926129776,0.0,0.0
21635,11700,0.8748209480613366,0.0,0.0
84000,5400,0.9027251538451544,0.0,0.0
79029,18000,0.9845044158750621,0.0,0.0
60256,15900,0.9824628018596672,0.0,0.0
110660,3300,0.9030737739131707,0.0,0.0
51023,22200,0.9761133166745926,0.0,0.0
99146,11700,0.944384942266947,0.0,0.0
93878,5400,0.9772058355190608,0.0,0.0
93845,3300,0.9729349838758978,0.0,0.0
5364,1200,0.13087879967246813,0.0,0.0
106612,9600,0.958114098262798,0.0,0.0
79928,9600,0.9767362031323619,0.0,0.0
94761,20100,0.9789566755810583,0.0,0.0
7126,11700,0.9677541056137038,0.0,0.0
82176,9600,0.9422922819601597,0.0,0.0
53475,9600,0.7157927053973618,0.0,0.0
88108,18000,0.9888364378076716,0.0,0.0
65166,1200,0.9640654443738346,0.0,0.0
65378,5400,0.9592027759879975,0.0,0.0
47119,11700,0.9668169535542771,0.0,0.0
64338,22200,0.9825021967435542,0.0,0.0
48872,3300,0.919370606660922,0.0,0.0
26061,15900,0.9836443460945518,0.0,0.0
78191,9600,0.9740650038683722,0.0,0.0
108224,11700,0.9780621471450797,0.0,0.0
47646,1200,0.8568426091470988,0.0,0.0
63423,11700,0.9710488629241655,0.0,0.0
109453,7500,0.9338294908554657,0.0,0.0
43299,7500,0.9853928551691621,0.0,0.0
86879,7500,0.9615912376613777,0.0,0.0
51882,13800,0.9728650254400987,0.0,0.0
