id,premium,renewal,improvement,incentives
649,3300,0.9943480772326068,0.0,0.0
81136,11700,0.9851946074816018,0.0,0.0
70762,11700,0.8731011741973183,0.0,0.0
53935,5400,0.9777589692609672,0.0,0.0
15476,9600,0.9629161857319325,0.0,0.0
64797,11700,0.987466749008154,0.0,0.0
67412,3300,0.7929089385199207,0.0,0.0
44241,5400,0.7822477475824726,0.0,0.0
5069,13800,0.9928943890240742,0.0,0.0
16615,28500,0.9940194699793367,0.0,0.0
84281,20100,0.9869315684730888,0.0,0.0
82623,1200,0.9712420847750661,0.0,0.0
86475,11700,0.5911391910814501,0.0,0.0
68263,1200,0.9521421592208521,0.0,0.0
113135,1200,0.9375575461259643,0.0,0.0
45532,18000,0.974198898621801,0.0,0.0
102161,7500,0.9944950834368058,0.0,0.0
84789,30600,0.6786312194315318,0.0,0.0
62398,11700,0.9774924357651535,0.0,0.0
70148,3300,0.9793595393156233,0.0,0.0
102487,13800,0.905305186061852,0.0,0.0
100513,11700,0.9113390151413727,0.0,0.0
92702,5700,0.923734514668336,0.0,0.0
25051,9600,0.661206337167857,0.0,0.0
92920,13800,0.9933097807818841,0.0,0.0
25520,11700,0.9691411027437351,0.0,0.0
81869,39000,0.9673305696523504,0.0,0.0
75402,7500,0.9860467774324597,0.0,0.0
34053,1200,0.6832363237289044,0.0,0.0
21191,9600,0.9907836995562916,0.0,0.0
10864,5400,0.9873164086450252,0.0,0.0
6349,7500,0.9709791856014551,0.0,0.0
85213,7500,0.9874079381809956,0.0,0.0
17255,5400,0.9632930880250886,0.0,0.0
108351,3300,0.806802920803776,0.0,0.0
51437,11700,0.9817935746227113,0.0,0.0
88629,20100,0.8219393631613731,0.0,0.0
85367,1200,0.9924325656141955,0.0,0.0
12313,1200,0.9572022548236793,0.0,0.0
71659,11700,0.9696186521507187,0.0,0.0
35142,5400,0.9923973043384837,0.0,0.0
62988,18000,0.9895692860961618,0.0,0.0
8793,3300,0.9506671971103634,0.0,0.0
11433,9600,0.9926848932779305,0.0,0.0
30586,18000,0.9925695901098861,0.0,0.0
53012,3300,0.9792616296832907,0.0,0.0
87924,7500,0.9866116528211984,0.0,0.0
106177,11700,0.9812381805874332,0.0,0.0
63058,18000,0.9546370909183278,0.0,0.0
99537,13800,0.9758073506032755,0.0,0.0
35336,20100,0.8791389960590669,0.0,0.0
78691,1200,0.9598615890498609,0.0,0.0
16161,9600,0.9823400913295617,0.0,0.0
94318,5400,0.9780610553605013,0.0,0.0
96583,3300,0.9933322035262238,0.0,0.0
104560,5700,0.9571659193158678,0.0,0.0
19638,26400,0.9944395007889093,0.0,0.0
26080,11700,0.9762989184434882,0.0,0.0
113482,7500,0.9895168897883861,0.0,0.0
82175,3300,0.9841961284344725,0.0,0.0
1239,3300,0.9735000436668492,0.0,0.0
32521,11700,0.6251457491300246,0.0,0.0
68529,7500,0.9944514732859174,0.0,0.0
38882,5400,0.34214948945019347,0.0,0.0
8299,3300,0.9914256376576502,0.0,0.0
98521,13800,0.9645003525769205,0.0,0.0
47257,7500,0.9559445104361897,0.0,0.0
